item_name,item_description,item_price,item_image
BOGO - Chicken Shawarma (Buy 1 Get 1),"Buy 1 Chicken Shawarma, Get the 2nd one Free",22.0,https://images.deliveryhero.io/image/talabat/Menuitems/AA07313B9C16AA8920C6C403247EF1D1?width=172&amp;height=172
BOGO - Flatbread Pizza (Buy 1 Get 1),"Buy 1 Margarita Flatbread Pizza, Get the 2nd one Free",22.0,https://images.deliveryhero.io/image/talabat/Menuitems/24469BA6FE798248EE281E761F83A344?width=172&amp;height=172
BOGO - Gorilla Burger (Buy 1 Get 1),"Buy 1 Gorilla Burger, Get the 2nd one Free",30.0,https://images.deliveryhero.io/image/talabat/Menuitems/FFF936551215FCFEFDF6490A5ED34CCC?width=172&amp;height=172
BOGO - Quesadilla (Buy 1 Get 1) ,"Buy 1 Quesadilla, get the 2nd one Free",27.0,https://images.deliveryhero.io/image/talabat/Menuitems/096B7D7AB2256C4B34515D97EC3DA525?width=172&amp;height=172
BOGO - Burritos (Buy 1 Get 1),"Buy 1 Burrito, Get the 2nd one Free",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/3876D8BA30441E6BBFC8A22E7495B201?width=172&amp;height=172
Gorilla Burger + Side + Drink + Dessert,"Choose your Burger, Side, Drink and Dessert",35.0,https://images.deliveryhero.io/image/talabat/Menuitems/F40204273FA14874FD96F8FD3C07E173?width=172&amp;height=172
Gorilla Hamburger,"New Smash Beef Burger with your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",21.0,https://images.deliveryhero.io/image/talabat/Menuitems/37DB922004D363AF1AAE4118E8A2FA50?width=172&amp;height=172
Gorilla Cheeseburger,"New Smash Beef Cheeseburger with Cheddar Cheese, Toppings and Sauce, served on a Toasted Potato Bun	",22.4,https://images.deliveryhero.io/image/talabat/Menuitems/D99C902D36048AC23C8BA604384109EB?width=172&amp;height=172
Double Gorilla Cheeseburger,"New Smash Double Beef Cheeseburger with Cheddar Cheese, Toppings and Sauce, served on a Toasted Potato  Bun	",30.8,https://images.deliveryhero.io/image/talabat/Menuitems/666BEF8C3A92943E6AD12D1D86922352?width=172&amp;height=172
Double Gorilla Hamburger,"New Smash Double Beef Burger with your Choice of Toppings and Sauce, served on a Toasted Potato Bun	",29.4,https://images.deliveryhero.io/image/talabat/Menuitems/277D9D9BE28F679E56D1385D9D3402FD?width=172&amp;height=172
Twelve (12) Chicken Wings,,38.5,https://images.deliveryhero.io/image/talabat/Menuitems/354A6A727C94505166F77091B5855592?width=172&amp;height=172
Six (6) Chicken Wings,,23.8,https://images.deliveryhero.io/image/talabat/Menuitems/EDFDE774EDDF413227E215B1EF93DB6E?width=172&amp;height=172
Margarita Flatbread,Flatbread Pizza with Herb Marinara Sauce and Mozzarella Cheese,12.6,https://images.deliveryhero.io/image/talabat/Menuitems/3BA47C2FF059BADE927998C1DEFADB92?width=172&amp;height=172
American BBQ Flatbread,"Flatbread Pizza with Herb Marinara Sauce, Pulled Beef, Kalamata Olives, Red Onions and Mozzarella Cheese",15.4,https://images.deliveryhero.io/image/talabat/Menuitems/56D74ED7F7EC3AC2C5B4249E248F3A4C?width=172&amp;height=172
Protein Overdose Flatbread,"Flatbread Pizza with Herb Marinara Sauce, Pulled Beef, Pepperoni, Turkey Ham, Shredded Cheddar and Mozzarella Cheese",20.3,https://images.deliveryhero.io/image/talabat/Menuitems/DDAE5111C85BBE9D49DF4E58F4FC221B?width=172&amp;height=172
Build your Shawarma Saj,"Build your own Saj, Choose your protein, toppings, and sauce.
",10.5,https://images.deliveryhero.io/image/talabat/Menuitems/7826CF9EF2BB7C8EADC397B367D1E5C0?width=172&amp;height=172
Authentic Chicken Shawarma,"Chicken Shawarma with French Fries (inside), Pickles and Toasted Garlic Aioli wrapped in Saj
",17.5,https://images.deliveryhero.io/image/talabat/Menuitems/C690FE49675A9B233A5B977578BF19B5?width=172&amp;height=172
Authentic Beef Shawarma,"Beef Shawarma with French Fries (inside), Pickles and Tahini, wrapped in Saj
",21.0,https://images.deliveryhero.io/image/talabat/Menuitems/D31F6B2535E5C715D1E18B7CADE7395B?width=172&amp;height=172
Chick Cheddar Kick (spicy),"Chicken Shawarma with French Fries (inside), Pickled Jalapenos, Sliced Tomatoes, and Chili Cheddar Cheese Sauce. Wrapped in Saj.",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/1B14A2F6D168688BDD602C79A32B85EA?width=172&amp;height=172
Build your own Quesadilla,"Create your own Quesadilla, Includes your choice of Protein, Cheese and Toppings",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/7FBD8B84319EB4D167093EE47DA6BCD4?width=172&amp;height=172
Cheese Quesadilla,Flour tortilla with Cheddar Cheese,11.2,https://images.deliveryhero.io/image/talabat/Menuitems/6EABA8FD1EEEB87E1A18961DB8C234D2?width=172&amp;height=172
Chicken Quesadilla,Flour tortilla with Cheddar Cheese and Shredded Chicken	,15.4,https://images.deliveryhero.io/image/talabat/Menuitems/3F29E6D5ECEB03A0ABDF06C5F8316143?width=172&amp;height=172
"Corn, Avocado & Mushrooms Quesadilla (Vegetarian)","Quesadilla with Cheddar Cheese, Avocado Mash, Seasoned Corn, Roasted Mushrooms. Served in a toasted flour tortilla  
",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/4FBB698938F372FCFF1387E9D4366DB7?width=172&amp;height=172
Fried Chicken and Cheese Quesadilla,"Quesadilla with Cheddar Cheese, Fried Chicken Cutlet, Roasted Mushrooms, and Caramelized Onions. Served in a toasted flour tortilla  
",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/E6C267A2919B10B945E448C81718DFA0?width=172&amp;height=172
Burrito + Side + Drink + Dessert,"Choose your Burrito, Side, Drink and a Dessert",35.0,https://images.deliveryhero.io/image/talabat/Menuitems/1F023AE617B3F084CAB90C7BA142E7DE?width=172&amp;height=172
Build your own Burrito,"Build your own Burrito, choose your Protein, add Sauce, Toppings and Cheese, served with rice in a toasted flour tortilla ",24.5,https://images.deliveryhero.io/image/talabat/Menuitems/622551B58A48078D1899B4F0DED8B875?width=172&amp;height=172
"Guacamole & Mushrooms Burrito (vegetarian, spicy)","Mexican burrito with black beans, guacamole, roasted mushroom, sauteed peppers and onions, and chipotle aioli sauce. Served with rice in a flour tortilla.",17.5,https://images.deliveryhero.io/image/talabat/Menuitems/3218360C83AD0539BB17421F33D59B00?width=172&amp;height=172
Ground Beef & Cheddar Burrito,"Mexican burrito with ground beef, cheddar cheese, black beans, guacamole, and BBQ sauce. Served with rice in a flour tortilla.",20.3,https://images.deliveryhero.io/image/talabat/Menuitems/76F5447DA66655F295EECBCF29E1D9B1?width=172&amp;height=172
Shredded Chicken & Guacamole Burrito,"Mexican burrito with shredded chicken, cheddar cheese, guacamole, and roasted tomato salsa. Served with rice in a flour tortilla.",20.3,https://images.deliveryhero.io/image/talabat/Menuitems/798CB77CEB739A80F5A265D3F78380C6?width=172&amp;height=172
