item_name,item_description,item_price,item_image
Coffee And Croissant Combo,Choice of croissant with your choice of coffee iced or hot.,20.0,https://images.deliveryhero.io/image/talabat/Menuitems/6E78ACB34958F8B7508028EF7F669FE2?width=172&amp;height=172
Coffee And Muffin Combo,Your choice of muffin with your choice of coffee iced or hot.,22.0,https://images.deliveryhero.io/image/talabat/Menuitems/20D531DE5EBDB6A96F1C0C47EAE9D51A?width=172&amp;height=172
Coffee And Sweet Treat Combo,Choice of sweet treat with your choice of coffee iced or hot.,30.0,https://images.deliveryhero.io/image/talabat/Menuitems/AB3F76E362E4206144CF1C63B6A855F8?width=172&amp;height=172
Chocolate Cakesicle,Chocolate fudge covered with milk chocolate.,9.5,https://images.deliveryhero.io/image/talabat/Menuitems/C8C6886DF9BF446C0BB50224F5CC838D?width=172&amp;height=172
Vanilla Caramel Cakesicle,Vanilla fudge filled with caramel sauce covered with white chocolate sauce.,9.5,https://images.deliveryhero.io/image/talabat/Menuitems/EFDF99078F411006C267189152AAE993?width=172&amp;height=172
Americano,Equal parts espresso and water creating a bold and dark flavor.,13.0,https://images.deliveryhero.io/image/talabat/Menuitems/4EA1EC7FF188243AE8B92139DBA61413?width=172&amp;height=172
Iced Americano,Espresso mixed with water,13.0,https://images.deliveryhero.io/image/talabat/Menuitems/8A1FC92477F7B6540D664B161BA42DF1?width=172&amp;height=172
Latte,"Espresso shot covered with a thin layer of fresh, steamed milk foam.",13.0,https://images.deliveryhero.io/image/talabat/Menuitems/8332455FEB29E2099B1A24696A5F38BA?width=172&amp;height=172
Iced Latte,Espresso shot covered with a thin layer of fresh cold milk foam,13.0,https://images.deliveryhero.io/image/talabat/Menuitems/208B2F99A80E3E9146CAD8781B4E3760?width=172&amp;height=172
Cappuccino,"Dark espresso enveloped with a thick layer of steamed, frothy milk foam.",13.0,https://images.deliveryhero.io/image/talabat/Menuitems/2C21C8DC16DC78C1B3EC9122D2231C18?width=172&amp;height=172
Flat White,"Espresso extra shot, layer of velvety milk foam.",13.0,https://images.deliveryhero.io/image/talabat/Menuitems/EF358F450C596553FFBC6D811A240FB0?width=172&amp;height=172
Spanish Latte,Blend of sweet condensed milk and espresso.,17.0,https://images.deliveryhero.io/image/talabat/Menuitems/3E0EAB5EFBC40F14BB1BE10E19671E5A?width=172&amp;height=172
