,item_name,item_description,item_price,item_image
0,Classic Cold Brew,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/0B570ED6E47FCA9F2F12735050A1652F?width=172&amp;height=172
1,Cold Brew with Cream,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/D2D7C1236CD8CBB5FDA37C67D1FE37A8?width=172&amp;height=172
2,Vanilla & Cream Cold Brew,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/20C7D2A91DAA63A86A9743C3F393AED5?width=172&amp;height=172
3,Cinnabon Cold Brew,,0.0,https://images.deliveryhero.io/image/talabat/Menuitems/5C155854756BB9D854D61261FD68C1B6?width=172&amp;height=172
4,Bonbites Pack 25,"Pack of 25 bonbites pieces with chocolate, pecan, and classic flavor",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/5B942B132D2CBF4D094FFE906EDDB4B8?width=172&amp;height=172
5,Minibon,mini classic roll,12.0,https://images.deliveryhero.io/image/talabat/Menuitems/B0CBE05C22296AC46DE423CECFF1EFEE?width=172&amp;height=172
6,Minichocobon,mini chocolate roll,13.0,https://images.deliveryhero.io/image/talabat/Menuitems/50CF77A207532928F0A0CB9F1CD0AD64?width=172&amp;height=172
7,Minipecanbon,mini pecan roll,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/074C2F9450A8176C5A1AF581E9C22FAB?width=172&amp;height=172
8,Minibon Hazelnut,mini nutella roll,15.0,https://images.deliveryhero.io/image/talabat/Menuitems/954D654005A3705D189902D025FC9349?width=172&amp;height=172
9,Cinnabon Classic,classic roll,17.0,https://images.deliveryhero.io/image/talabat/Menuitems/4BCA5E024135929E2EC841DF041238EB?width=172&amp;height=172
10,Chocobon,classic chocolate roll,18.0,https://images.deliveryhero.io/image/talabat/Menuitems/988699E2A84865289B456ED821138CEE?width=172&amp;height=172
11,Pecanbon,classic pecan roll,19.0,https://images.deliveryhero.io/image/talabat/Menuitems/6B87271EC93A72E1564E89869BB5F536?width=172&amp;height=172
12,Cinnabites 5,5pieces classic bites,15.0,https://images.deliveryhero.io/image/talabat/Menuitems/2863C63CA5CADA6097C62DF404C02251?width=172&amp;height=172
13,Chocobites 5,5 bites pieces chocolate flavor,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/AF21008D515F9C45B5E5C1A958F1C2F5?width=172&amp;height=172
14,Pecanbites 5,5 pieces pecan bites,17.0,https://images.deliveryhero.io/image/talabat/Menuitems/AC22C3293564015C2EF5C2851D2735A0?width=172&amp;height=172
15,Megabon,extra large classic roll serves 3-4 people. Order before 2hrs,42.0,https://images.deliveryhero.io/image/talabat/Menuitems/983060D08DB0F5BE450B52C8D6C73EE4?width=172&amp;height=172
16,Cinnabon Stix 5,,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/832567BBEDACD52EAD14336AB509F868?width=172&amp;height=172
17,Cinnabon Stix 10,,28.0,https://images.deliveryhero.io/image/talabat/Menuitems/6CB71BEA474BB0564E01B46650A0C604?width=172&amp;height=172
18,Cinnabon Stix -15,,36.0,https://images.deliveryhero.io/image/talabat/Menuitems/55D7DE05CEBB3266C8539E2D9A8DC711?width=172&amp;height=172
19,Minibon 4 Epack,pack of 4 minibon classic rolls,42.0,https://images.deliveryhero.io/image/talabat/Menuitems/2EDF1F0B626095E095DC69524AE0658F?width=172&amp;height=172
