,item_name,item_description,item_price,item_image
0,Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/3D1760C87A74A99BF516984D97C82757?width=172&amp;height=172
1,Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109.0,https://images.deliveryhero.io/image/talabat/Menuitems/1C50541E7193A74FEFC882FB594048DA?width=172&amp;height=172
2,Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199.0,https://images.deliveryhero.io/image/talabat/Menuitems/DEC17E836F02A6AAA57E5BC9E61504EA?width=172&amp;height=172
3,Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64.0,https://images.deliveryhero.io/image/talabat/Menuitems/25C5FE08C3478B125CE2A0DF968B2638?width=172&amp;height=172
4,Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99.0,https://images.deliveryhero.io/image/talabat/Menuitems/73233AA332348EA75B9C49505AE3E64E?width=172&amp;height=172
5,Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/117CF76081906387C7BAA4385311ECE9?width=172&amp;height=172
6,Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/A4BF69F14C52A7E6283AFC8DEB703096?width=172&amp;height=172
7,Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/C7D2FFA8B41B2C3F3C333D1E50CD4198?width=172&amp;height=172
8,Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/B8313DC5923A2CA092CA5D3FAC519172?width=172&amp;height=172
9,Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23.0,https://images.deliveryhero.io/image/talabat/Menuitems/3A5ECD6DC9FF90024A6630702684B097?width=172&amp;height=172
10,Gino's Chicken Wings,"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/C839B49B7ACE9482DC22E8D17AD68C04?width=172&amp;height=172
11,Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/3D3B5457B1EC5F4CDD44D79CA87830E2?width=172&amp;height=172
