,item_name,item_description,item_price,item_image
0,12 Classic Gorilla Cheese Sliders (Party Pack),"12 Cheese Beef Sliders with Cheddar, Pickles, Tomato, Lettuce, Mayo, and Ketchup",96.0,https://images.deliveryhero.io/image/talabat/Menuitems/4595E1493482370F009433A459E21374?width=172&amp;height=172
1,12 Crispy Chicken Sliders (Party Pack),"12 Crispy Chicken Sliders with Pickles, Tomato, Lettuce, Mayo, and Ketchup",96.0,https://images.deliveryhero.io/image/talabat/Menuitems/0C2875047C609E572E6E41F27B391339?width=172&amp;height=172
2,Mixed Finger Food for 6 (Party Pack),"6 Portions of Mixed French Fries, Sweet Potato Fries and Onion Rings, served with Mayonnaise and Ketchup",60.0,https://images.deliveryhero.io/image/talabat/Menuitems/48EF2698C767ADBD91241B2A701F2C4E?width=172&amp;height=172
3,Chocolate Chip Milkshake,"Soft chocolate ice cream milkshake blended with chocolate, topped with chocolate syrup, whipped cream and chocolate chips",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/405B93C333AE43A66CCB420E5F7412B9?width=172&amp;height=172
4,Lotus Milkshake,"Soft salted caramel ice cream milkshake blended with lotus, topped with caramel syrup, whipped cream and lotus crumple",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/A07601B5F1710CA2DAB8D9B8DBA0A024?width=172&amp;height=172
5,Oreo Milkshake,"Soft vanilla ice cream milkshake blended with Oreo cookies, topped with chocolate syrup, whipped cream and oreo cookies",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/C4FEE3F062A9F146AA0AFA90E4CDFD27?width=172&amp;height=172
6,PB Brownie Milkshake,"Soft chocolate ice cream milkshake blended with peanut butter, topped with whipped cream and brownie bits",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/76D272F422CBA72DE428496CF1522311?width=172&amp;height=172
7,Strawberry Milkshake,"Soft strawberry ice cream milkshake blended with strawberry, topped with strawberry syrup, whipped cream and strawberries",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/7156FF44A8283D0C5CD5847D15835894?width=172&amp;height=172
8,Vanilla Milkshake,"Soft vanilla ice cream milkshake, topped with whipped cream and fresh strawberries",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/805E96C00963F6CB812EC6E179A88AA2?width=172&amp;height=172
9,Gorilla Burger + Side + Drink + Dessert,"Choose your Burger, Side, Drink and a Dessert",46.4,https://images.deliveryhero.io/image/talabat/Menuitems/91602291606892E31974AE64BC28F1F4?width=172&amp;height=172
10,Crispy Chicken Burger + Side + Drink + Dessert,"Choose your Crispy Burger, Side, Drink and a Dessert",41.6,https://images.deliveryhero.io/image/talabat/Menuitems/5AE076684FBC97E7B15EA9BCF6CF4B88?width=172&amp;height=172
11,2 Gorilla Burgers + 2 Sides + 2 Drinks / Milkshakes,"Choose your 2 Burgers or (6) Sliders, 2 Sides and 2 Drinks / Milkshakes",72.0,https://images.deliveryhero.io/image/talabat/Menuitems/D1909C0CEC870A8ED8B0BEFEDA11C300?width=172&amp;height=172
12,2 Crispy Chicken Burgers + 2 Sides + 2 Drinks / Milkshakes,"Choose your 2 Crispy Chicken Burgers, 2 Sides and 2 Drinks / Milkshakes",64.0,https://images.deliveryhero.io/image/talabat/Menuitems/439CCE90D1C99BD9F9122D3E88C8D28A?width=172&amp;height=172
13,Hot Dog + Side + Drink + Dessert / Milkshake,"Choose your Hot Dog, Side, Drink and a Dessert / Milkshake",38.4,https://images.deliveryhero.io/image/talabat/Menuitems/6A7359493CC58E5AA3FE7D86440A59C2?width=172&amp;height=172
14,Gorilla Hamburger,"New Smash Beef Burger with your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/A09519D9A5DF5C044449B720145D6C90?width=172&amp;height=172
15,Gorilla Cheeseburger,"New Smash Beef Cheeseburger with Cheddar Cheese, Toppings and Sauce, served on a Toasted Potato Bun",25.6,https://images.deliveryhero.io/image/talabat/Menuitems/917C9A3BCD26E537984A55C236C5DDFB?width=172&amp;height=172
16,Double Gorilla Hamburger,"New Smash Double Beef Burger with your Choice of Toppings and Sauce, served on a Toasted Potato Bun",33.6,https://images.deliveryhero.io/image/talabat/Menuitems/50910F4D59D8D4C135EF364044B4F386?width=172&amp;height=172
17,Double Gorilla Cheeseburger,"New Smash Double Beef Cheeseburger with Cheddar Cheese, Toppings and Sauce, served on a Toasted Potato  Bun",35.2,https://images.deliveryhero.io/image/talabat/Menuitems/D862AEF5A8B92F06E20EC65135CDED67?width=172&amp;height=172
18,Triple Gorilla Hamburger,"New Smash Triple Beef Burger and your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",43.2,https://images.deliveryhero.io/image/talabat/Menuitems/B9C3CF21EA6024A8AFBED74F8162B066?width=172&amp;height=172
19,Triple Gorilla Cheeseburger,"New Smash Triple Beef Cheeseburger with Cheddar Cheese, Toppings and Sauce, served on a Toasted Potato  Bun",46.4,https://images.deliveryhero.io/image/talabat/Menuitems/25C2844E7D6FAE8DDB57DB19093DD2D4?width=172&amp;height=172
20,Gorilla Beef Sliders,"Choose between 2 or 3 Beef Sliders and your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",19.2,https://images.deliveryhero.io/image/talabat/Menuitems/1865946B94C2C8C6C40F534B636CA584?width=172&amp;height=172
21,Gorilla Cheese Sliders,"Choose between 2 or 3 Beef Sliders with your Choice of Cheese, Toppings and Sauce, served on a Toasted Potato  Bun",20.8,https://images.deliveryhero.io/image/talabat/Menuitems/CC0F4ECD74F20787E6CC1C59920DBFF8?width=172&amp;height=172
22,Mad Stacks Sliders,"Choose between 2 or 3 Double Beef Patty Sliders with your Choice of Toppings and Sauce, served on a Toasted Potato  Bun",27.2,https://images.deliveryhero.io/image/talabat/Menuitems/9F5EF7F85658A7F9582CD33B7105BFD6?width=172&amp;height=172
23,Double Beef Cheddar Sliders,"Choose between 2 or 3 Double Beef Sliders with your Choice of Cheese, Toppings and Sauce, served on a Toasted Potato  Bun",28.8,https://images.deliveryhero.io/image/talabat/Menuitems/7D4113AD2564BB1489911ECC8F958F30?width=172&amp;height=172
24,Vegetarian Cheeseburger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Romaine Lettuce, Tomato, Vegan Mayonnaise and Vegan Thousand Island on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/5F57E89450C26C8A8C4952B0D79FD271?width=172&amp;height=172
25,Vegetarian Chipotle Burger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Romaine Lettuce, Tomato, Red Onion, Vegan Mayonnaise and Vegan Chipotle Aioli on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/759BFA1D2FB028DA2274B3DE93D2C438?width=172&amp;height=172
26,Vegetarian Texas Burger (vegan),"Vegan Burger with Vegan Cheddar Cheese, Crispy Onion Rings, Pickles, Romaine Lettuce, Tomato, Vegan Mayonnaise and BBQ Sauce on Toasted Vegan Bun. Made with Sweet Earth",36.0,https://images.deliveryhero.io/image/talabat/Menuitems/E1DCE683A9B66BEC3DF0538F95602679?width=172&amp;height=172
