,item_name,item_description,item_price,item_image
0,Nonna's Meal for 1,"Any Appetiser, Any Pasta, Any Soft Drink",65.0,https://images.deliveryhero.io/image/talabat/Menuitems/BC4B168ED8CDB7E1D40FCDFC8A9FAB8D?width=172&amp;height=172
1,Nonna's Meal for 2,"Any 2 Appetisers, any 2 Pasta's and 2 Soft Drinks!",125.0,https://images.deliveryhero.io/image/talabat/Menuitems/24A9A635B64331955F8239209A9A7354?width=172&amp;height=172
2,Pasta Party Pack - Any 4 pasta's,Choose any 4 pastas from our menu!,149.0,https://images.deliveryhero.io/image/talabat/Menuitems/CB5CE73AEFDF1E9C2AC95DB7C4511B49?width=172&amp;height=172
3,Nonna's Chicken Strips,"Tender, crispy and delicious - thats how Mamma makes them! Served with BBQ Sauce (4 strips)",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/E7F51C83A4EEA2293E20227B8722E911?width=172&amp;height=172
4,Chili Cheese Bites,"Breaded, crispy, (slightly) chili cheesy bites with a soft centre. Served with a homemade garlic & herb dip",29.0,https://images.deliveryhero.io/image/talabat/Menuitems/5E385D8FD83D65138E32A43D65668C24?width=172&amp;height=172
5,Nonna's Sweet Potato Fries,Perfectly crunchy sweet potato fries with a sweet chili dip,23.0,https://images.deliveryhero.io/image/talabat/Menuitems/686ABFB21E96A9C2FE07437829EBDDA0?width=172&amp;height=172
6,Homemade Garlic Bread & Mozzarella,"Homemade freshly baked bread with fresh garlic and EVOO, topped with our creamy mozzarella",25.0,https://images.deliveryhero.io/image/talabat/Menuitems/5DA3AF65729C2289BADBABC58011A641?width=172&amp;height=172
7,Nonna's Chicken Wings - BBQ,"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce. Served with a Blue cheese dip (6 wings)",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/BAF2DE63A234BE5A4805B7666A05AFD2?width=172&amp;height=172
8,Nonna's Chicken Wings - Buffalo,"Premium, thick, juicy wings smothered in tangy Buffalo sauce. Served with a Blue cheese dip",32.0,https://images.deliveryhero.io/image/talabat/Menuitems/D58DB7271221512E563EBF01BFE80EDA?width=172&amp;height=172
9,Tuscan Chicken Pasta Salad,"Served cold A delightful mix of Italian flavours and one of Nonna's crowd pleasers - fusili pasta, kalamata olives, shredded roast chicken, sweetcorn, fresh rocket, sun-dried tomato, pine nuts, homemade fresh basil pesto and parmesan",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/87F88052C0A30C7843295D5F4EBF684A?width=172&amp;height=172
10,Nonna's Grilled Chicken Caesar Salad,"Crispy Romaine lettuce with Nonna's creamy Caesar dressing, homemade garlic croutons, powdered parmesan cheese and grilled chicken breast",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/3FB6EE6570DBBDFF55FCB97048152C0E?width=172&amp;height=172
11,Sicilian Tuna Pasta Salad,"Served cold Fusili pasta with Nonna's tuna mayo with Mediterranean tuna, sundried tomato, sweetcorn and spring onion",43.0,https://images.deliveryhero.io/image/talabat/Menuitems/EFAA447805BF9C2CA20A9DC0DDF59E87?width=172&amp;height=172
12,Insalata Caprese,"Sliced vine tomato with thick cut slices of fresh mozzarella, topped with Nonna's homemade basil pesto, fresh rocket and premium Italian EVOO",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/94696E09EF7843C3CE748B9F9C89EB40?width=172&amp;height=172
13,Nonna's Spaghetti Bolognese,An Italian classic - premium spaghetti pasta tossed with Nonna's homemade rich Beef Bolognese sauce - bellissima!,49.0,https://images.deliveryhero.io/image/talabat/Menuitems/B04AA618FA42EFA5284231F7966E83F3?width=172&amp;height=172
14,Tagliatelle Della Mamma,"Mamma Mia! Premium tagliatelle pasta, with Mamma's famous cream sauce of sauteed shrimp and roast garlic! Maraviglioso! (mildly spicy)",59.0,https://images.deliveryhero.io/image/talabat/Menuitems/011D70E1CE6BF0ED1F736936B34D8D06?width=172&amp;height=172
15,Penne Alfredo,Premium penne pasta with a rich and creamy sauce of oven roast chicken and fresh mushroom. Topped with Parmesan,49.0,https://images.deliveryhero.io/image/talabat/Menuitems/098E7C08ABD5E38CF935D69A7717CE7F?width=172&amp;height=172
16,Gnocchi Alla Quattro Formaggi,"Deliciously satisfying gnocchi pasta with a creamy, cheesy homemade four cheese sauce (cheddar, parmesan, gorgonzola and emmenthal)",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/403828D41190447A73B51AA7B3A44B31?width=172&amp;height=172
17,Tortelloni Della Nonna,"Mamma's delicious spinach & ricotta stuffed tortelloni, mixed with a cream sauce of smoked turkey, shiitake mushroom and emmental. Just the way Nonna likes it!",59.0,https://images.deliveryhero.io/image/talabat/Menuitems/6AF8FFA30211FB5D8BE30C8AFCF72C48?width=172&amp;height=172
18,Fusili Bianco Rosso,"Fusili pasta swirls mixed in Nonna's rich, flavour packed pomodoro sauce, topped with fresh straciatella and chili flakes",59.0,https://images.deliveryhero.io/image/talabat/Menuitems/DBBBB0843F7D5C5CBB36C19DDF32F969?width=172&amp;height=172
