,item_name,item_description,item_price,item_image
0,6 Chicken Wings + Side + Drink + Dessert,"Choose your 6 Marinated or Plain Chicken Wings (Wings and Drumsticks), Side, Drink and a Dessert",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/888004F2223C907E247DF3DDB099390E?width=172&amp;height=172
1,12 Chicken Wings + Side + Drink + Dessert,"Your Choice of 12 Marinated or Plain Chicken Wings (Wings and Drumsticks), Side, Drink and Dessert",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/23BEAFFE4E78B9F0ADDAFF750019DB82?width=172&amp;height=172
2,20 Wings + 2 Sides + 2 Drinks,Your Choice of 20 Marinated or Plain Chicken Wings (Wings and Drumsticks) 2 Sides and 2 Drinks,77.0,https://images.deliveryhero.io/image/talabat/Menuitems/317047BE9297EF540497091BC7DBCAF1?width=172&amp;height=172
3,10 Strips + 1 Side + 1 Drink,"Choose your 10 Chicken Strips, Side and a Drink",45.5,https://images.deliveryhero.io/image/talabat/Menuitems/6418752BF4837926D57998B4A46AA776?width=172&amp;height=172
4,Chocolate Milkshake,"Soft chocolate ice cream milkshake blended with chocolate, topped with chocolate syrup, whipped cream and chocolate chips",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/E01580C4F83BC5F6A04F2FAD684F1AA0?width=172&amp;height=172
5,Lotus Milkshake,"Soft salted caramel ice cream milkshake blended with lotus, topped with caramel syrup, whipped cream and lotus crumple",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/F54C47B9DE1B695198894F80FC69627C?width=172&amp;height=172
6,Oreo Milkshake,"Soft vanilla ice cream milkshake blended with Oreo cookies, topped with chocolate syrup, whipped cream and oreo cookies",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/56B812455DEB5A26B70B631BCE1EF1FB?width=172&amp;height=172
7,PB Milkshake,"Soft chocolate ice cream milkshake blended with peanut butter, topped with whipped cream and brownie bits",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/3C8F2A59DADAF51E042F58907C8660A5?width=172&amp;height=172
8,Strawberry Milkshake,"Soft strawberry ice cream milkshake blended with strawberry, topped with strawberry syrup, whipped cream and strawberries",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/8A3A2AF469D02492BCE0FD8FD122BDAC?width=172&amp;height=172
9,Vanilla Milkshake,"Soft vanilla ice cream milkshake, topped with whipped cream and fresh strawberries",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/59A72DA172BA22D4DB3567BE058E044C?width=172&amp;height=172
10,BBQ Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in BBQ Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/DCEAD05CA88E10AD0D0A688C11B4ACAC?width=172&amp;height=172
11,Chili Garlic Pepper Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Chili Garlic Pepper Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/F6D0D4779AD31189EB6636EA676806A3?width=172&amp;height=172
12,Hot Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Hot Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/38F7A7D4D1A025D14E53588AD9ADA292?width=172&amp;height=172
13,Sweet Chili Pineapple Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Sweet Chili Pineapple Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/060F8F05766EA7BC96C196C5D932F536?width=172&amp;height=172
14,Teriyaki Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Teriyaki Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/5AF1FB595C8A91E9484E76C7D0C1E34A?width=172&amp;height=172
15,(6) Six Plain Chicken Wings,"3 Chicken Wings and 3 Drumsticks, served with your choice of dipping sauce on the side",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/A722CDCEF4276C239A8A82A5F50C62FE?width=172&amp;height=172
16,(12) Twelve Plain Chicken Wings,"6 Chicken Wings and 6 Drumsticks, served with your choice of dipping sauce on the side",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/9E9EFC94918720B1FB8B34EA4D7DBE54?width=172&amp;height=172
17,(20) Twenty Plain Chicken Wings,"Ten (10) wings and Ten (10) drumsticks, served with your choice of dipping sauce on the side",59.5,https://images.deliveryhero.io/image/talabat/Menuitems/140313CF28113418AB8EF4B8BE0B8FB0?width=172&amp;height=172
